Aircraft Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AircraftID,EquipmentType,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,TAA
13271,,,,Cessna,C150,1,5,,,False,False,False,False
13272,,,,Cessna,C150,1,5,,,False,False,False,False
13273,,,,Cessna,C150,1,5,,,False,False,False,False
13274,,,,Cessna,C150,1,5,,,False,False,False,False
13275,,,,Cessna,C150,1,5,,,False,False,False,False
13276,,,,Cessna,C172,1,5,,,False,False,False,False
13277,,,,Cessna,C172,1,5,,,False,False,False,False
13278,,,,Cessna,C172,1,5,,,False,False,False,False
13279,,,,Cessna,C172,1,5,,,False,False,False,False
13280,,,,Piper,P28R,1,5,,,True,False,False,False
13281,,,,Piper,P28R,1,5,,,True,False,False,False
13282,,,,Yakovlev,YAK52,1,5,,,True,False,False,False
13283,,,,Yakovlev,YAK52,1,5,,,True,False,False,False
13284,,,,Mooney,M20J,1,5,,,True,False,False,False
13285,,,,Piper,P28R,1,5,,,True,False,False,False
13286,,,,Piper,P32R,1,5,,,True,False,False,False
13287,,,,,F132,1,5,,,False,False,False,False
13288,,,,Piper,P28R,1,5,,,True,False,False,False
13289,,,,Piper,P28R,1,5,,,True,False,False,False
13290,,,,,F132,1,5,,,False,False,False,False
13291,,,,Piper,P28R,1,5,,,True,False,False,False
13292,,,,Piper,P28R,1,5,,,True,False,False,False
13293,,,,Piper,P28R,1,5,,,True,False,False,False
13294,,,,Piper,PA34,1,5,,,False,False,False,False
13295,,,,Piper,PA34,1,5,,,False,False,False,False
13296,,,,Mooney,M20J,1,5,,,True,False,False,False
13297,,,,,P28A,1,5,,,False,False,False,False
13298,,,,Piper,P32R,1,5,,,True,False,False,False
13299,,,,Piper,PA44,1,5,,,True,False,False,False
13300,,,,,P28A,1,5,,,False,False,False,False
13301,,,,Piper,P28R,1,5,,,True,False,False,False
13302,,,,,P28A,1,5,,,False,False,False,False
13303,,,,Cessna,C150,1,5,,,False,False,False,False
13304,,,,Piper,PA34,1,5,,,True,False,False,False
13305,,,,,C72R,1,5,,,True,False,False,False
13306,,,,Piper,PA34,1,5,,,True,False,False,False
13307,,,,Cessna,C172,1,5,,,False,False,False,False
13308,,,,Piper,PA44,1,5,,,True,False,False,False
13309,,,,,C177,1,5,,,True,False,False,False
13310,,,,,P28A,1,5,,,False,False,False,False
13311,,,,,PA38,1,5,,,False,False,False,False
13312,,,,,P28A,1,5,,,False,False,False,False
13313,,,,Piper,PA44,1,5,,,True,False,False,False
13314,,,,Maule,M7,1,5,,,True,False,False,False
13315,,,,,F121,1,5,,,False,False,False,False
13316,,,,Piper,P28R,1,5,,,True,False,False,False
13317,,,,,BE76,1,5,,,True,False,False,False
13318,,,,Beechcraft,B200,2,5,,,False,False,False,False
13319,,,,Fokker,F100,2,5,,,False,False,False,False
13320,,,,Cessna,C172,1,5,,,False,False,False,False
13321,,,,Airbus,A320,2,5,,,False,False,False,False
13322,,,,Airbus,A320,2,5,,,False,False,False,False
13323,,,,Airbus,A320,2,5,,,False,False,False,False
13324,,,,Airbus,A320,2,5,,,False,False,False,False
13325,,,,Airbus,A320,2,5,,,True,False,False,False
13326,,,,Cessna,C150,1,5,,,False,False,False,False
13327,,,,Airbus,A320,2,5,,,True,False,False,False
13328,,,,Airbus,A320,2,5,,,True,False,False,False
13329,,,,Airbus,A320,2,5,,,True,False,False,False
13330,,,,Airbus,A320,2,5,,,True,False,False,False
13331,,,,Airbus,A320,2,5,,,True,False,False,False
13332,,,,Airbus,A320,2,5,,,True,False,False,False
13333,,,,Airbus,A320,2,5,,,True,False,False,False
13334,,,,Airbus,A320,2,5,,,True,False,False,False
13335,,,,Airbus,A320,2,5,,,True,False,False,False
13336,,,,Airbus,A320,2,5,,,True,False,False,False
13337,,,,Airbus,A320,2,5,,,True,False,False,False
13338,,,,Airbus,A320,2,5,,,True,False,False,False
13339,,,,Cessna,C150,1,5,,,False,False,False,False
13340,,,,Airbus,A320,2,5,,,True,False,False,False
13341,,,,Airbus,A320,2,5,,,True,False,False,False
13342,,,,Airbus,A320,2,5,,,True,False,False,False
13343,,,,Cessna,C152,1,5,,,False,False,False,False
13344,,,,Airbus,A320,2,5,,,True,False,False,False
13345,,,,Airbus,A320,2,5,,,True,False,False,False
13346,,,,Cessna,C172,1,5,,,False,False,False,False
13347,,,,Cessna,C150,1,5,,,False,False,False,False
13348,,,,Airbus,A320,2,5,,,True,False,False,False
13349,,,,Cirrus,SR22,1,5,,,False,False,False,False
13350,,,,Airbus,A320,2,5,,,True,False,False,False
13351,,,,Airbus,A320,2,5,,,True,False,False,False
13352,,,,Airbus,A320,2,5,,,True,False,False,False
13353,,,,Airbus,A320,2,5,,,True,False,False,False
13354,,,,Cessna,C172,1,5,,,False,False,False,False
13355,,,,Airbus,A320,2,5,,,True,False,False,False
13356,,,,Airbus,A320,2,5,,,True,False,False,False
13357,,,,Airbus,A320,2,5,,,True,False,False,False
13358,,,,Airbus,A320,2,5,,,True,False,False,False
13359,,,,Airbus,A320,2,5,,,True,False,False,False
13360,,,,,PA34,1,5,,,False,False,False,False
13361,,,,Airbus,A320,2,5,,,False,False,False,False
13362,,,,Cessna,C150,1,5,,,False,False,False,False
13363,,,,Cessna,C172,1,5,,,False,False,False,False
13364,,,,Cessna,C150,1,5,,,False,False,False,False
13365,,,,Airbus,A320,2,5,,,False,False,False,False
13366,,,,Cessna,C150,1,5,,,False,False,False,False
13367,,,,Cessna,C172,1,5,,,False,False,False,False
13368,,,,Zlin,Z142,1,5,,,True,False,False,False
13369,,,,Cessna,C172,1,5,,,False,False,False,False
13370,,,,Cessna,C172,1,5,,,False,False,False,False
13371,,,,Airbus,A320,2,5,,,True,False,False,False
13372,,,,,ATR42,2,5,,,False,False,False,False
13373,,,,Cessna,C172,1,5,,,False,False,False,False
13374,,,,Airbus,A320,2,5,,,False,False,False,False
13375,,,,Cessna,C152,1,5,,,False,False,False,False
13376,,,,Airbus,A320,2,5,,,True,False,False,False
13377,,,,Cirrus,SR20,1,5,,,False,False,False,False
13378,,,,Cessna,C152,1,5,,,False,False,False,False
13379,,,,Airbus,A320,2,5,,,True,False,False,False
13380,,,,Airbus,A320,2,5,,,True,False,False,False
13381,,,,Cirrus,SR22,1,5,,,True,False,False,False
13382,,,,Airbus,A320,2,5,,,False,False,False,False
13383,,,,Airbus,A320,2,5,,,True,False,False,False
13384,,,,Airbus,A320,2,5,,,True,False,False,False
13385,,,,Airbus,A320,2,5,,,False,False,False,False
13386,,,,Airbus,A320,2,5,,,False,False,False,False
13387,,,,Airbus,A321,2,5,,,False,False,False,False
13388,,,,Airbus,A319,2,5,,,False,False,False,False
13389,,,,Airbus,A319,2,5,,,False,False,False,False
13390,,,,Airbus,A320,2,5,,,False,False,False,False
13391,,,,Airbus,A320,2,5,,,False,False,False,False
13392,,,,Airbus,A320,2,5,,,False,False,False,False
13393,,,,Airbus,A321,2,5,,,False,False,False,False
13394,,,,Airbus,A321,2,5,,,False,False,False,False
13395,,,,Airbus,A321,2,5,,,False,False,False,False
13396,,,,Airbus,A321,2,5,,,False,False,False,False
13397,,,,Airbus,A320,2,5,,,False,False,False,False
13398,,,,Airbus,A320,2,5,,,True,False,False,False
13399,,,,Airbus,A320,2,5,,,True,False,False,False
13400,,,,Airbus,A320,2,5,,,True,False,False,False
13401,,,,Airbus,A320,2,5,,,True,False,False,False
13402,,,,Airbus,A320,2,5,,,True,False,False,False
13403,,,,Airbus,A320,2,5,,,True,False,False,False
13404,,,,Airbus,A320,2,5,,,True,False,False,False
13405,,,,Airbus,A320,2,5,,,True,False,False,False
13406,,,,Airbus,A320,2,5,,,True,False,False,False
13407,,,,Airbus,A320,2,5,,,True,False,False,False
13408,,,,Airbus,A320,2,5,,,False,False,False,False
13409,,,,Airbus,A320,2,5,,,False,False,False,False
13410,,,,Airbus,A320,2,5,,,False,False,False,False
13411,,,,Cessna,C172,1,5,,,False,False,False,False
13412,,,,Cessna,C172,1,5,,,False,False,False,False
13413,,,,Cessna,C152,1,5,,,False,False,False,False
13414,,,,Airbus,A320,2,5,,,False,False,False,False
13415,,,,Cessna,C152,1,5,,,False,False,False,False
